nome,instagram,telefone,email,status,origem,vendedor,nota,score,ultima_interacao,valor_estimado,created_at
Leticia Duarte,@leticiaduarte348,(11) 99666-1088,leticia.duarte@email.com,perdido,Anúncio Facebook,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,2,2025-09-27,2425.56,2025-08-04T22:06:56.212207
Rodrigo Moreira,@rodrigomoreira209,(11) 95694-4893,rodrigo.moreira@email.com,interessado,Indicação,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,6,2025-09-24,2222.42,2025-08-30T22:06:56.212207
Ana Clara,@anaclara443,(11) 94025-5984,ana.clara@email.com,perdido,Evento,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,2,2025-10-01,1557.4,2025-08-14T22:06:56.212207
Beatriz Almeida,@beatrizalmeida180,(11) 95349-8511,beatriz.almeida@email.com,contatado,Instagram,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,7,2025-09-23,2669.17,2025-08-12T22:06:56.212207
Caroline Castro,@carolinecastro684,(11) 95674-3091,caroline.castro@email.com,perdido,Indicação,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,4,2025-09-22,1929.87,2025-08-21T22:06:56.212207
Rafael Lima,@rafaellima288,(11) 91633-3293,rafael.lima@email.com,interessado,Google Ads,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,7,2025-09-26,2519.36,2025-08-11T22:06:56.212207
Tatiana Neves,@tatiananeves833,(11) 98670-2530,tatiana.neves@email.com,perdido,Site,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,1,2025-09-24,1567.75,2025-09-15T22:06:56.212207
Caroline Castro,@carolinecastro154,(11) 93651-3019,caroline.castro@email.com,fechado,Anúncio Facebook,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,8,2025-09-24,1903.93,2025-09-15T22:06:56.212207
Juliana Cunha,@julianacunha488,(11) 95812-4929,juliana.cunha@email.com,fechado,Google Ads,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,9,2025-09-24,1626.35,2025-08-12T22:06:56.212207
Leticia Duarte,@leticiaduarte851,(11) 97249-6669,leticia.duarte@email.com,fechado,Indicação,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,10,2025-09-22,1993.88,2025-08-26T22:06:56.212207
Felipe Costa,@felipecosta621,(11) 94798-7887,felipe.costa@email.com,novo,Indicação,Ana,Lead captado via Evento. Demonstrou interesse em curso de vendas.,2,2025-09-29,1887.89,2025-08-25T22:06:56.212207
Maria Fernanda,@mariafernanda739,(11) 98127-1532,maria.fernanda@email.com,fechado,Site,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,9,2025-09-23,2664.8,2025-08-14T22:06:56.212207
Mariana Santos,@marianasantos670,(11) 93725-7486,mariana.santos@email.com,interessado,WhatsApp,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-09-25,2407.25,2025-09-23T22:06:56.212207
Carlos Eduardo,@carloseduardo752,(11) 92850-7199,carlos.eduardo@email.com,contatado,WhatsApp,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,4,2025-09-30,2293.08,2025-09-04T22:06:56.212207
Larissa Pereira,@larissapereira933,(11) 98696-8904,larissa.pereira@email.com,contatado,Google Ads,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,7,2025-09-29,2957.09,2025-09-24T22:06:56.212207
Leonardo Araujo,@leonardoaraujo513,(11) 99354-3350,leonardo.araujo@email.com,perdido,Instagram,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,3,2025-09-29,1956.96,2025-08-03T22:06:56.212207
Vinicius Santana,@viniciussantana860,(11) 97599-7680,vinicius.santana@email.com,negociacao,Instagram,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,8,2025-09-28,2303.04,2025-08-28T22:06:56.212207
Vanessa Teixeira,@vanessateixeira215,(11) 96824-8079,vanessa.teixeira@email.com,interessado,Site,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,8,2025-10-01,2037.1,2025-09-30T22:06:56.212207
Felipe Costa,@felipecosta699,(11) 95397-3726,felipe.costa@email.com,novo,Anúncio Facebook,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,4,2025-09-21,1607.76,2025-09-13T22:06:56.212207
Daniel Campos,@danielcampos494,(11) 98321-2222,daniel.campos@email.com,fechado,Anúncio Facebook,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,9,2025-09-26,2736.29,2025-09-23T22:06:56.212207
Bianca Monteiro,@biancamonteiro627,(11) 91786-8890,bianca.monteiro@email.com,negociacao,WhatsApp,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,10,2025-09-21,2040.24,2025-09-09T22:06:56.212207
Diego Torres,@diegotorres292,(11) 93910-8131,diego.torres@email.com,contatado,Indicação,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,6,2025-09-24,2602.63,2025-09-04T22:06:56.212207
Rodrigo Moreira,@rodrigomoreira775,(11) 93585-5416,rodrigo.moreira@email.com,interessado,Instagram,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,7,2025-09-28,1659.95,2025-08-27T22:06:56.212207
Vinicius Santana,@viniciussantana799,(11) 91965-2639,vinicius.santana@email.com,contatado,WhatsApp,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,6,2025-09-22,2361.71,2025-08-15T22:06:56.212207
Gustavo Souza,@gustavosouza818,(11) 95055-9408,gustavo.souza@email.com,perdido,Instagram,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,5,2025-09-30,2880.99,2025-09-29T22:06:56.212207
Camila Ferreira,@camilaferreira742,(11) 99988-8557,camila.ferreira@email.com,contatado,WhatsApp,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,6,2025-09-22,1964.79,2025-08-26T22:06:56.212207
Caroline Castro,@carolinecastro668,(11) 91090-5375,caroline.castro@email.com,negociacao,WhatsApp,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,10,2025-09-24,2124.92,2025-09-20T22:06:56.212207
Carlos Eduardo,@carloseduardo728,(11) 97456-1893,carlos.eduardo@email.com,interessado,Anúncio Facebook,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,7,2025-09-24,2920.84,2025-09-12T22:06:56.212207
Carlos Eduardo,@carloseduardo147,(11) 92373-2763,carlos.eduardo@email.com,negociacao,Indicação,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,8,2025-09-28,1678.27,2025-08-07T22:06:56.212207
Bruna Carvalho,@brunacarvalho754,(11) 96203-4153,bruna.carvalho@email.com,interessado,Instagram,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,8,2025-09-30,2908.51,2025-08-20T22:06:56.212207
Carlos Eduardo,@carloseduardo406,(11) 98315-6650,carlos.eduardo@email.com,perdido,Evento,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,3,2025-10-01,2364.96,2025-09-07T22:06:56.212207
Lucas Rodrigues,@lucasrodrigues957,(11) 97315-6154,lucas.rodrigues@email.com,interessado,WhatsApp,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,6,2025-09-28,2490.87,2025-08-16T22:06:56.212207
Cristina Freitas,@cristinafreitas779,(11) 99499-5317,cristina.freitas@email.com,negociacao,Google Ads,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,8,2025-09-28,2334.0,2025-09-10T22:06:56.212207
Bruna Carvalho,@brunacarvalho646,(11) 95990-1430,bruna.carvalho@email.com,negociacao,WhatsApp,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,8,2025-09-29,2361.47,2025-09-23T22:06:56.212207
Tatiana Neves,@tatiananeves191,(11) 96923-7815,tatiana.neves@email.com,negociacao,WhatsApp,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,9,2025-09-30,2837.67,2025-08-25T22:06:56.212207
Isabella Martins,@isabellamartins263,(11) 98234-8689,isabella.martins@email.com,contatado,Indicação,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,5,2025-10-01,2015.35,2025-08-28T22:06:56.212207
Lucas Rodrigues,@lucasrodrigues610,(11) 97636-9704,lucas.rodrigues@email.com,novo,Indicação,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,1,2025-09-29,2561.77,2025-08-30T22:06:56.212207
Natalia Nascimento,@natalianascimento219,(11) 93062-8218,natalia.nascimento@email.com,fechado,Site,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,10,2025-10-01,2339.73,2025-10-01T22:06:56.212207
Fabio Rocha,@fabiorocha284,(11) 99789-3631,fabio.rocha@email.com,contatado,Instagram,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,7,2025-09-27,2539.77,2025-08-11T22:06:56.212207
Cristina Freitas,@cristinafreitas979,(11) 95101-9897,cristina.freitas@email.com,negociacao,Site,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,10,2025-09-29,2198.09,2025-09-14T22:06:56.212207
Tatiana Neves,@tatiananeves300,(11) 93998-8626,tatiana.neves@email.com,perdido,Instagram,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,3,2025-09-28,2906.05,2025-09-10T22:06:56.212207
Priscila Correia,@priscilacorreia994,(11) 91330-7702,priscila.correia@email.com,perdido,Instagram,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,3,2025-09-30,1858.29,2025-09-28T22:06:56.212207
Fabio Rocha,@fabiorocha523,(11) 98013-7255,fabio.rocha@email.com,perdido,Indicação,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,5,2025-09-24,2950.62,2025-09-18T22:06:56.212207
João Victor,@joãovictor618,(11) 93985-7600,joão.victor@email.com,perdido,Site,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,5,2025-09-21,2147.68,2025-09-10T22:06:56.212207
Beatriz Almeida,@beatrizalmeida459,(11) 94325-1198,beatriz.almeida@email.com,fechado,Evento,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,9,2025-09-30,2428.66,2025-09-20T22:06:56.212207
Maria Fernanda,@mariafernanda264,(11) 98439-6859,maria.fernanda@email.com,novo,Anúncio Facebook,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,5,2025-09-23,1864.29,2025-08-09T22:06:56.212207
Diego Torres,@diegotorres646,(11) 98287-3060,diego.torres@email.com,interessado,WhatsApp,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,7,2025-09-27,1674.48,2025-09-24T22:06:56.212207
Gustavo Souza,@gustavosouza270,(11) 97380-1005,gustavo.souza@email.com,interessado,Site,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,8,2025-09-28,1761.06,2025-09-26T22:06:56.212207
Natalia Nascimento,@natalianascimento708,(11) 91799-4557,natalia.nascimento@email.com,interessado,Site,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,6,2025-09-23,2814.38,2025-09-18T22:06:56.212207
Bruno Gomes,@brunogomes207,(11) 95631-5947,bruno.gomes@email.com,perdido,Evento,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,1,2025-10-01,2022.25,2025-10-01T22:06:56.212207
Caroline Castro,@carolinecastro865,(11) 95753-2605,caroline.castro@email.com,contatado,Evento,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,4,2025-09-28,2166.09,2025-09-13T22:06:56.212207
Fabio Rocha,@fabiorocha669,(11) 98361-3917,fabio.rocha@email.com,interessado,Evento,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,8,2025-10-01,1621.3,2025-08-11T22:06:56.212207
Alexandre Vieira,@alexandrevieira333,(11) 95176-9080,alexandre.vieira@email.com,fechado,Instagram,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,10,2025-09-25,2389.39,2025-09-10T22:06:56.212207
Lucas Rodrigues,@lucasrodrigues444,(11) 92778-1259,lucas.rodrigues@email.com,contatado,Indicação,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,5,2025-09-21,2571.11,2025-08-23T22:06:56.212207
Natalia Nascimento,@natalianascimento596,(11) 94219-1474,natalia.nascimento@email.com,fechado,Indicação,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,10,2025-09-26,2670.46,2025-08-15T22:06:56.212207
Ana Clara,@anaclara951,(11) 96354-2009,ana.clara@email.com,fechado,WhatsApp,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,9,2025-09-23,2371.2,2025-08-08T22:06:56.212207
Stephanie Ribeiro,@stephanieribeiro662,(11) 93043-2859,stephanie.ribeiro@email.com,fechado,Anúncio Facebook,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,10,2025-09-21,2182.79,2025-08-16T22:06:56.212207
Thiago Dias,@thiagodias239,(11) 97629-3944,thiago.dias@email.com,contatado,Evento,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,5,2025-09-23,2757.34,2025-09-21T22:06:56.212207
Cristina Freitas,@cristinafreitas175,(11) 99340-5873,cristina.freitas@email.com,novo,Instagram,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,5,2025-09-22,2223.84,2025-09-14T22:06:56.212207
Beatriz Almeida,@beatrizalmeida659,(11) 91632-5215,beatriz.almeida@email.com,negociacao,Anúncio Facebook,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,10,2025-10-01,2355.36,2025-08-04T22:06:56.212207
Mariana Santos,@marianasantos951,(11) 92417-8098,mariana.santos@email.com,contatado,Indicação,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,4,2025-10-01,2951.38,2025-08-24T22:06:56.212207
Larissa Pereira,@larissapereira585,(11) 91572-3604,larissa.pereira@email.com,novo,Evento,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,5,2025-09-24,2024.23,2025-08-30T22:06:56.212207
Thiago Dias,@thiagodias631,(11) 99901-3217,thiago.dias@email.com,novo,Google Ads,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,3,2025-09-28,2938.48,2025-09-13T22:06:56.212207
João Victor,@joãovictor857,(11) 95053-5531,joão.victor@email.com,novo,WhatsApp,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,3,2025-10-01,2585.29,2025-10-01T22:06:56.212207
Natalia Nascimento,@natalianascimento716,(11) 91507-7778,natalia.nascimento@email.com,fechado,Google Ads,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,9,2025-09-25,2227.9,2025-08-02T22:06:56.212207
Alexandre Vieira,@alexandrevieira304,(11) 93568-7891,alexandre.vieira@email.com,fechado,Site,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,9,2025-09-21,1920.22,2025-08-10T22:06:56.212207
Lucas Rodrigues,@lucasrodrigues717,(11) 98006-1402,lucas.rodrigues@email.com,interessado,Instagram,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,6,2025-10-01,1866.06,2025-09-20T22:06:56.212207
Rafael Lima,@rafaellima969,(11) 91317-1632,rafael.lima@email.com,perdido,Anúncio Facebook,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,3,2025-09-28,1519.96,2025-08-22T22:06:56.212207
Mariana Santos,@marianasantos567,(11) 93330-6974,mariana.santos@email.com,perdido,Anúncio Facebook,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,3,2025-10-01,2104.29,2025-09-03T22:06:56.212207
Daniel Campos,@danielcampos827,(11) 97649-7878,daniel.campos@email.com,contatado,Indicação,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,6,2025-09-29,2495.95,2025-09-18T22:06:56.212207
Igor Lopes,@igorlopes798,(11) 91498-5643,igor.lopes@email.com,fechado,Anúncio Facebook,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,8,2025-09-30,1715.09,2025-09-29T22:06:56.212207
Pedro Mendes,@pedromendes936,(11) 95291-1023,pedro.mendes@email.com,perdido,Site,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,4,2025-09-24,2519.18,2025-09-06T22:06:56.212207
Tatiana Neves,@tatiananeves815,(11) 95534-9420,tatiana.neves@email.com,perdido,Anúncio Facebook,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,5,2025-09-28,2285.44,2025-08-24T22:06:56.212207
Rafael Lima,@rafaellima342,(11) 94149-7810,rafael.lima@email.com,fechado,Instagram,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,8,2025-09-25,2730.86,2025-08-29T22:06:56.212207
Leticia Duarte,@leticiaduarte260,(11) 91920-7983,leticia.duarte@email.com,novo,Indicação,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,1,2025-09-27,2294.89,2025-08-08T22:06:56.212207
Beatriz Almeida,@beatrizalmeida807,(11) 99115-2702,beatriz.almeida@email.com,novo,Site,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,2,2025-09-26,2996.96,2025-08-30T22:06:56.212207
Leticia Duarte,@leticiaduarte959,(11) 95027-8485,leticia.duarte@email.com,interessado,Anúncio Facebook,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,8,2025-10-01,1691.94,2025-09-17T22:06:56.212207
Paulo Ricardo,@pauloricardo825,(11) 94184-3914,paulo.ricardo@email.com,negociacao,Indicação,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,9,2025-09-24,2670.84,2025-08-05T22:06:56.212207
Amanda Cardoso,@amandacardoso912,(11) 94284-2217,amanda.cardoso@email.com,fechado,Instagram,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,10,2025-09-30,2954.05,2025-09-09T22:06:56.212207
Rafael Lima,@rafaellima883,(11) 91536-3603,rafael.lima@email.com,interessado,Instagram,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,8,2025-10-01,1765.36,2025-09-12T22:06:56.212207
Bruno Gomes,@brunogomes544,(11) 92570-7968,bruno.gomes@email.com,fechado,WhatsApp,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-09-29,2659.4,2025-09-24T22:06:56.212207
Lucas Rodrigues,@lucasrodrigues119,(11) 91065-2070,lucas.rodrigues@email.com,novo,Indicação,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,2,2025-09-24,2634.65,2025-09-01T22:06:56.212207
Isabella Martins,@isabellamartins726,(11) 96895-2906,isabella.martins@email.com,perdido,Indicação,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,5,2025-09-27,2094.35,2025-08-15T22:06:56.212207
Cristina Freitas,@cristinafreitas681,(11) 96755-6462,cristina.freitas@email.com,interessado,Instagram,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,6,2025-09-29,1607.1,2025-09-11T22:06:56.212207
Maria Fernanda,@mariafernanda979,(11) 97509-7861,maria.fernanda@email.com,contatado,Site,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,7,2025-10-01,2852.93,2025-08-31T22:06:56.212207
Thiago Dias,@thiagodias211,(11) 95150-1057,thiago.dias@email.com,contatado,Evento,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,5,2025-09-25,2765.82,2025-09-01T22:06:56.212207
Maria Fernanda,@mariafernanda196,(11) 98223-5601,maria.fernanda@email.com,negociacao,Google Ads,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,9,2025-09-28,1592.4,2025-08-11T22:06:56.212207
Tatiana Neves,@tatiananeves450,(11) 98324-3152,tatiana.neves@email.com,interessado,Anúncio Facebook,Ana,Lead captado via Evento. Demonstrou interesse em curso de vendas.,6,2025-09-23,2651.97,2025-08-16T22:06:56.212207
Leonardo Araujo,@leonardoaraujo905,(11) 91612-6504,leonardo.araujo@email.com,interessado,Instagram,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,7,2025-09-22,1677.33,2025-08-11T22:06:56.212207
João Victor,@joãovictor209,(11) 95053-6844,joão.victor@email.com,novo,Indicação,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,5,2025-10-01,2914.79,2025-08-10T22:06:56.212207
Paulo Ricardo,@pauloricardo983,(11) 93395-8338,paulo.ricardo@email.com,negociacao,Google Ads,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,9,2025-09-26,2066.76,2025-09-12T22:06:56.212207
Natalia Nascimento,@natalianascimento993,(11) 99797-5781,natalia.nascimento@email.com,fechado,Site,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,9,2025-09-28,1799.57,2025-08-08T22:06:56.212207
Vinicius Santana,@viniciussantana663,(11) 92009-2844,vinicius.santana@email.com,negociacao,Google Ads,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,9,2025-09-23,1817.1,2025-09-03T22:06:56.212207
Bruno Gomes,@brunogomes138,(11) 95090-4775,bruno.gomes@email.com,fechado,Site,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,8,2025-09-28,2212.8,2025-09-02T22:06:56.212207
Maria Fernanda,@mariafernanda368,(11) 97789-6199,maria.fernanda@email.com,contatado,Site,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,4,2025-10-01,2900.6,2025-09-26T22:06:56.212207
Bianca Monteiro,@biancamonteiro655,(11) 92430-5786,bianca.monteiro@email.com,negociacao,Evento,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,9,2025-10-01,2409.23,2025-08-15T22:06:56.212207
Maria Fernanda,@mariafernanda136,(11) 97184-5172,maria.fernanda@email.com,perdido,Google Ads,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,2,2025-09-28,1620.75,2025-09-05T22:06:56.212207
Felipe Costa,@felipecosta399,(11) 97794-2605,felipe.costa@email.com,perdido,Google Ads,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,1,2025-09-23,1855.65,2025-09-17T22:06:56.212207
Alexandre Vieira,@alexandrevieira930,(11) 95038-7743,alexandre.vieira@email.com,novo,Google Ads,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,5,2025-09-24,2484.27,2025-09-04T22:06:56.212207
Leonardo Araujo,@leonardoaraujo856,(11) 98369-1876,leonardo.araujo@email.com,perdido,Indicação,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,5,2025-09-29,1536.62,2025-09-26T22:06:56.212207
Leonardo Araujo,@leonardoaraujo680,(11) 95529-8076,leonardo.araujo@email.com,fechado,Indicação,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-10-01,2947.38,2025-09-22T22:06:56.212207
Isabella Martins,@isabellamartins267,(11) 93959-2589,isabella.martins@email.com,fechado,Site,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-09-21,2698.68,2025-09-10T22:06:56.212207
Natalia Nascimento,@natalianascimento198,(11) 98607-3796,natalia.nascimento@email.com,fechado,Evento,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,9,2025-09-21,1697.29,2025-09-05T22:06:56.212207
Isabella Martins,@isabellamartins350,(11) 93602-6603,isabella.martins@email.com,contatado,Evento,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,5,2025-10-01,2946.99,2025-10-01T22:06:56.212207
Rodrigo Moreira,@rodrigomoreira440,(11) 94708-5941,rodrigo.moreira@email.com,novo,Indicação,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,5,2025-09-30,2765.09,2025-09-27T22:06:56.212207
